Date,Messages
16/3/16,33
17/3/16,34
18/3/16,8
20/3/16,30
21/3/16,2
22/3/16,9
23/3/16,23
24/3/16,14
25/3/16,4
26/3/16,14
27/3/16,10
29/3/16,9
30/3/16,5
31/3/16,15
1/4/16,12
2/4/16,42
3/4/16,36
4/4/16,21
5/4/16,13
6/4/16,92
7/4/16,50
8/4/16,21
11/4/16,7
12/4/16,12
13/4/16,2
14/4/16,19
15/4/16,6
19/4/16,1
20/4/16,23
21/4/16,5
23/4/16,14
24/4/16,4
28/4/16,10
1/5/16,12
4/5/16,1
8/5/16,16
10/5/16,4
15/5/16,1
16/5/16,1
21/5/16,19
24/5/16,36
26/5/16,171
27/5/16,42
28/5/16,115
29/5/16,83
30/5/16,52
31/5/16,47
1/6/16,66
2/6/16,17
3/6/16,3
4/6/16,47
5/6/16,16
7/6/16,15
8/6/16,14
10/6/16,50
11/6/16,10
12/6/16,8
13/6/16,18
14/6/16,2
15/6/16,32
16/6/16,6
18/6/16,22
20/6/16,1
21/6/16,7
22/6/16,63
24/6/16,50
25/6/16,37
26/6/16,42
27/6/16,33
28/6/16,54
29/6/16,57
30/6/16,1
1/7/16,27
2/7/16,94
3/7/16,74
4/7/16,53
5/7/16,5
14/7/16,2
21/7/16,38
22/7/16,60
30/7/16,2
31/7/16,30
4/8/16,22
5/8/16,195
6/8/16,173
7/8/16,393
8/8/16,447
9/8/16,378
10/8/16,399
11/8/16,400
12/8/16,453
13/8/16,170
14/8/16,340
15/8/16,456
16/8/16,273
17/8/16,533
18/8/16,99
19/8/16,189
20/8/16,493
21/8/16,154
22/8/16,469
23/8/16,192
24/8/16,379
25/8/16,255
26/8/16,28
27/8/16,387
28/8/16,36
29/8/16,191
30/8/16,190
31/8/16,159
1/9/16,71
2/9/16,46
4/9/16,10
5/9/16,1
6/9/16,123
7/9/16,237
8/9/16,166
9/9/16,421
10/9/16,313
11/9/16,396
12/9/16,644
13/9/16,375
14/9/16,363
15/9/16,561
16/9/16,525
17/9/16,447
18/9/16,94
19/9/16,490
20/9/16,464
21/9/16,695
22/9/16,804
23/9/16,614
24/9/16,113
25/9/16,352
26/9/16,544
27/9/16,327
28/9/16,540
29/9/16,922
30/9/16,457
1/10/16,1159
2/10/16,545
3/10/16,945
4/10/16,501
5/10/16,266
6/10/16,355
7/10/16,244
8/10/16,511
9/10/16,325
10/10/16,430
11/10/16,339
12/10/16,585
13/10/16,335
14/10/16,160
15/10/16,258
16/10/16,456
17/10/16,567
18/10/16,418
19/10/16,537
20/10/16,607
21/10/16,687
22/10/16,365
23/10/16,863
24/10/16,455
25/10/16,791
26/10/16,514
27/10/16,415
28/10/16,431
29/10/16,1394
30/10/16,700
31/10/16,808
1/11/16,700
2/11/16,573
3/11/16,473
4/11/16,745
5/11/16,639
6/11/16,418
7/11/16,1064
8/11/16,1067
9/11/16,764
10/11/16,468
11/11/16,601
12/11/16,861
13/11/16,548
14/11/16,374
15/11/16,250
16/11/16,192
17/11/16,624
18/11/16,387
19/11/16,479
20/11/16,259
21/11/16,333
22/11/16,400
23/11/16,404
24/11/16,412
25/11/16,409
26/11/16,629
27/11/16,288
28/11/16,337
29/11/16,724
30/11/16,806
1/12/16,998
2/12/16,596
3/12/16,576
4/12/16,329
5/12/16,573
6/12/16,272
7/12/16,527
8/12/16,156
9/12/16,133
10/12/16,163
11/12/16,203
12/12/16,169
13/12/16,152
14/12/16,504
15/12/16,48
16/12/16,263
17/12/16,103
18/12/16,60
19/12/16,279
20/12/16,222
21/12/16,81
22/12/16,248
23/12/16,260
24/12/16,630
25/12/16,515
26/12/16,1
27/12/16,30
28/12/16,317
29/12/16,185
30/12/16,83
31/12/16,524
1/1/17,436
2/1/17,630
3/1/17,118
4/1/17,135
5/1/17,34
6/1/17,84
7/1/17,90
8/1/17,90
9/1/17,441
10/1/17,351
11/1/17,391
12/1/17,244
13/1/17,267
14/1/17,514
15/1/17,142
16/1/17,184
17/1/17,248
18/1/17,480
19/1/17,206
20/1/17,1
22/1/17,1
25/1/17,531
26/1/17,753
27/1/17,495
28/1/17,675
29/1/17,685
30/1/17,414
31/1/17,932
1/2/17,2205
2/2/17,889
3/2/17,1212
4/2/17,954
5/2/17,359
6/2/17,875
7/2/17,1075
8/2/17,789
9/2/17,749
10/2/17,871
11/2/17,201
12/2/17,700
13/2/17,430
14/2/17,694
15/2/17,929
16/2/17,422
17/2/17,440
18/2/17,410
19/2/17,348
20/2/17,630
21/2/17,709
22/2/17,637
23/2/17,900
24/2/17,1392
25/2/17,337
26/2/17,271
27/2/17,312
28/2/17,850
1/3/17,743
2/3/17,589
3/3/17,741
4/3/17,372
5/3/17,627
6/3/17,470
7/3/17,550
8/3/17,306
9/3/17,741
10/3/17,339
11/3/17,255
12/3/17,289
13/3/17,325
14/3/17,480
15/3/17,423
16/3/17,425
17/3/17,542
18/3/17,278
